,0,1,2,3,4,5,6,7,8,9,10,11,12
107,ANIMALS,FREQ,GEO,INDICATORS,OBS_FLAG,TIME,UNIT,,,,,,
108,ANIMALS,FREQ,GEO,HATCHITM,INDICATORS,OBS_FLAG,TIME,,,,,,
109,ANIMALS,FREQ,GEO,HATCHITM,INDICATORS,OBS_FLAG,TIME,,,,,,
110,FREQ,GEO,INCUBAT,INDICATORS,OBS_FLAG,SIZEHATCH,TIME,TYP_REAR,,,,,
111,FREQ,GEO,INCUBAT,INDICATORS,OBS_FLAG,SIZEHATCH,TIME,TYP_REAR,,,,,
112,DAIRYPROD,FREQ,GEO,INDICATORS,OBS_FLAG,TIME,UNIT,,,,,,
113,DAIRYPROD,FREQ,GEO,INDICATORS,OBS_FLAG,TIME,UNIT,,,,,,
114,DAIRYPROD,FREQ,GEO,INDICATORS,MILKITEM,OBS_FLAG,TIME,,,,,,
115,FREQ,GEO,INDICATORS,MILKITEM,OBS_FLAG,PRODMILK,TIME,,,,,,
116,DAIRYPROD,FREQ,GEO,INDICATORS,MILKITEM,OBS_FLAG,TIME,,,,,,
117,FREQ,GEO,INDICATORS,INDIC_AG,OBS_FLAG,TIME,VOLUME,,,,,,
118,FREQ,GEO,INDICATORS,INDIC_AG,OBS_FLAG,TIME,VOLUME,,,,,,
119,FREQ,GEO,INDICATORS,INDIC_AG,OBS_FLAG,TIME,VOLUME,,,,,,
120,FREQ,GEO,INDICATORS,INDIC_AG,OBS_FLAG,TIME,VOLUME,,,,,,
121,FREQ,GEO,INDICATORS,INDIC_AG,OBS_FLAG,TIME,VOLUME,,,,,,
122,FREQ,GEO,INDICATORS,INDIC_AG,OBS_FLAG,TIME,VOLUME,,,,,,
123,FREQ,GEO,INDICATORS,INDIC_AG,OBS_FLAG,TIME,VOLUME,,,,,,
124,FREQ,GEO,INDICATORS,INDIC_AG,OBS_FLAG,TIME,VOLUME,,,,,,
125,ANIMALS,FREQ,GEO,INDICATORS,MONTH,OBS_FLAG,TIME,UNIT,,,,,
126,ANIMALS,FREQ,GEO,INDICATORS,OBS_FLAG,TIME,UNIT,,,,,,
127,ANIMALS,FREQ,GEO,INDICATORS,MONTH,OBS_FLAG,TIME,UNIT,,,,,
128,ANIMALS,FREQ,GEO,INDICATORS,MONTH,OBS_FLAG,TIME,UNIT,,,,,
129,ANIMALS,FREQ,GEO,INDICATORS,MONTH,OBS_FLAG,TIME,UNIT,,,,,
130,FREQ,GEO,INDICATORS,MEAT,MEATITEM,OBS_FLAG,TIME,UNIT,,,,,
131,FREQ,GEO,INDICATORS,MEAT,MEATITEM,OBS_FLAG,TIME,UNIT,,,,,
132,FREQ,GEO,INDICATORS,MEAT,MEATITEM,OBS_FLAG,TIME,UNIT,,,,,
133,FREQ,GEO,INDICATORS,MEAT,MEATITEM,OBS_FLAG,TIME,UNIT,,,,,
134,FREQ,GEO,INDICATORS,MEAT,MEATITEM,OBS_FLAG,TIME,UNIT,,,,,
135,FREQ,GEO,INDICATORS,MEAT,MEATITEM,OBS_FLAG,TIME,UNIT,,,,,
136,FREQ,GEO,INDICATORS,MEAT,MEATITEM,OBS_FLAG,TIME,UNIT,,,,,
137,FREQ,GEO,INDICATORS,N_HEAD,OBS_FLAG,STRUCPRO,TIME,TYP_REAR,,,,,
138,FREQ,GEO,INDICATORS,N_HEAD,OBS_FLAG,STRUCPRO,TIME,TYP_REAR,,,,,
139,FREQ,GEO,INDICATORS,N_HEAD,OBS_FLAG,STRUCPRO,TIME,TYP_REAR,,,,,
140,FREQ,GEO,INDICATORS,N_HEAD,OBS_FLAG,STRUCPRO,TIME,TYP_REAR,,,,,
141,FREQ,INDICATORS,OBS_FLAG,REP_AIRP,SEX,TIME,,,,,,,
142,ENTERPR,FREQ,GEO,INDICATORS,OBS_FLAG,SEX,TIME,,,,,,
143,ENTERPR,FREQ,GEO,INDICATORS,OBS_FLAG,TIME,,,,,,,
144,AGE,FREQ,GEO,INDICATORS,OBS_FLAG,TIME,,,,,,,
145,AIRC_CAT,FREQ,GEO,INDICATORS,OBS_FLAG,TIME,,,,,,,
146,FREQ,INDICATORS,OBS_FLAG,PARTNER,REP_AIRP,TIME,TRA_MEAS,UNIT,,,,,
147,FREQ,GEO,INDICATORS,OBS_FLAG,PARTNER,TIME,TRA_MEAS,UNIT,,,,,
148,FREQ,INDICATORS,OBS_FLAG,PARTNER,REP_AIRP,TIME,TRA_MEAS,UNIT,,,,,
149,FREQ,GEO,INDICATORS,OBS_FLAG,PARTNER,TIME,TRA_MEAS,UNIT,,,,,
150,FREQ,INDICATORS,OBS_FLAG,REP_AIRP,TIME,TRA_MEAS,UNIT,,,,,,
151,FREQ,GEO,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
152,FREQ,INDICATORS,OBS_FLAG,REP_AIRP,SCHEDULE,TIME,TRA_COV,TRA_MEAS,UNIT,,,,
153,FREQ,INDICATORS,OBS_FLAG,PARTNER,REP_AIRP,TIME,TRA_MEAS,UNIT,,,,,
154,FREQ,GEO,INDICATORS,OBS_FLAG,SCHEDULE,TIME,TRA_COV,TRA_MEAS,UNIT,,,,
155,FREQ,GEO,INDICATORS,OBS_FLAG,PARTNER,TIME,TRA_MEAS,UNIT,,,,,
156,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
157,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
158,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
159,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
160,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
161,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
162,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
163,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
164,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
165,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
166,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
167,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
168,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
169,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
170,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
171,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
172,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
173,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
174,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
175,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
176,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
177,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
178,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
179,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
180,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
181,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
182,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
183,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
184,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
185,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
186,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
187,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
188,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
189,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
190,FREQ,GEO,INDICATORS,OBS_FLAG,TIME,TRA_INFR,,,,,,,
191,FREQ,INDICATORS,OBS_FLAG,REP_AIRP,TIME,TRA_INFR,,,,,,,
192,FREQ,INDICATORS,OBS_FLAG,REP_AIRP,TIME,TRA_INFR,,,,,,,
193,FREQ,INDICATORS,OBS_FLAG,PARTNER,REP_AIRP,TIME,TRA_MEAS,UNIT,,,,,
194,FREQ,GEO,INDICATORS,OBS_FLAG,PARTNER,TIME,TRA_MEAS,UNIT,,,,,
195,FREQ,INDICATORS,OBS_FLAG,PARTNER,REP_AIRP,TIME,TRA_MEAS,UNIT,,,,,
196,FREQ,GEO,INDICATORS,OBS_FLAG,PARTNER,TIME,TRA_MEAS,UNIT,,,,,
197,FREQ,INDICATORS,OBS_FLAG,REP_AIRP,TIME,TRA_MEAS,UNIT,,,,,,
198,FREQ,GEO,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
199,FREQ,INDICATORS,OBS_FLAG,REP_AIRP,SCHEDULE,TIME,TRA_COV,TRA_MEAS,UNIT,,,,
200,FREQ,INDICATORS,OBS_FLAG,PARTNER,REP_AIRP,TIME,TRA_MEAS,UNIT,,,,,
201,FREQ,GEO,INDICATORS,OBS_FLAG,SCHEDULE,TIME,TRA_COV,TRA_MEAS,UNIT,,,,
202,FREQ,GEO,INDICATORS,OBS_FLAG,PARTNER,TIME,TRA_MEAS,UNIT,,,,,
203,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
204,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
205,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
206,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
207,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
208,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
209,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
210,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
211,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
212,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
213,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
214,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
215,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
216,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
217,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
218,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
219,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
220,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
221,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
222,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
223,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
224,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
225,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
226,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
227,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
228,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
229,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
230,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
231,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
232,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
233,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
234,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
235,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
236,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
237,AIRP_PR,FREQ,INDICATORS,OBS_FLAG,TIME,TRA_MEAS,UNIT,,,,,,
238,AIRCRAFT,FREQ,INDICATORS,OBS_FLAG,REP_AIRP,TIME,TRA_COV,TRA_MEAS,UNIT,,,,
239,AIRCRAFT,FREQ,GEO,INDICATORS,OBS_FLAG,TIME,TRA_COV,TRA_MEAS,UNIT,,,,
240,FREQ,INDICATORS,OBS_FLAG,REP_AIRP,TIME,UNIT,,,,,,,
241,AIRLINE,FREQ,INDICATORS,OBS_FLAG,REP_AIRP,TIME,TRA_COV,TRA_MEAS,UNIT,,,,
242,AIRLINE,FREQ,INDICATORS,OBS_FLAG,REP_AIRP,TIME,TRA_MEAS,UNIT,,,,,
243,FREQ,GEO,INDICATORS,OBS_FLAG,TIME,UNIT,,,,,,,
244,FREQ,GEO,INDICATORS,OBS_FLAG,TIME,TRA_COV,UNIT,,,,,,
245,FREQ,GEO,INDICATORS,OBS_FLAG,TIME,TRA_COV,UNIT,,,,,,
246,FREQ,GEO,INDICATORS,INDIC_SB,LEG_FORM,NACE_R1,OBS_FLAG,TIME,,,,,
247,FREQ,GEO,INDICATORS,INDIC_SB,LEG_FORM,NACE_R2,OBS_FLAG,TIME,,,,,
248,FREQ,GEO,INDICATORS,INDIC_SB,NACE_R1,OBS_FLAG,SIZECLAS,TIME,,,,,
249,FREQ,GEO,INDICATORS,INDIC_SB,NACE_R2,OBS_FLAG,SIZECLAS,TIME,,,,,
250,FREQ,GEO,INDICATORS,INDIC_SB,LEG_FORM,NACE_R1,OBS_FLAG,TIME,,,,,
251,FREQ,GEO,INDICATORS,INDIC_SB,NACE_R1,OBS_FLAG,SIZECLAS,TIME,,,,,
252,FREQ,GEO,INDICATORS,INDIC_SB,LEG_FORM,NACE_R1,OBS_FLAG,TIME,,,,,
253,FREQ,GEO,INDICATORS,INDIC_SB,LEG_FORM,NACE_R2,OBS_FLAG,TIME,,,,,
254,FREQ,GEO,INDICATORS,INDIC_SB,NACE_R1,OBS_FLAG,SIZECLAS,TIME,,,,,
255,FREQ,GEO,INDICATORS,INDIC_SB,NACE_R2,OBS_FLAG,SIZECLAS,TIME,,,,,
